2026-01-25T21:40:21.801+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\MediaPresignService.class]
2026-01-25T21:40:21.803+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\PaymentService.class]
2026-01-25T21:40:21.805+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\PortfolioSearchService.class]
2026-01-25T21:40:21.806+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\PortfolioService.class]
2026-01-25T21:40:21.807+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\PostContentBlocksService.class]
2026-01-25T21:40:21.808+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\PostTagsService.class]
2026-01-25T21:40:21.811+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\StudiosService.class]
2026-01-25T21:40:21.816+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\SubscriptionService.class]
2026-01-25T21:40:21.817+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\UserProvisioningService.class]
2026-01-25T21:40:21.820+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\verification\EmailVerificationAspect.class]
2026-01-25T21:40:22.672+05:30 DEBUG 15692 --- [gametout] [main] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\config\RazorpayConfig.class]
2026-01-25T21:40:22.815+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
2026-01-25T21:40:22.816+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.ReactorOnClasspathCondition    : Reactor related Aspect extensions are not activated because Resilience4j Reactor module is not on the classpath.
2026-01-25T21:40:22.828+05:30 DEBUG 15692 --- [gametout] [main] i.g.r.s.u.RxJava2OnClasspathCondition    : RxJava2 related Aspect extensions are not activated, because RxJava2 is not on the classpath.
